epoch,train_loss,val_loss,val_dice,val_iou,lr
1,0.394255,0.343545,0.869827,0.788603,0.00100000
2,0.334476,0.325742,0.872423,0.792623,0.00100000
3,0.319868,0.320333,0.872890,0.792639,0.00100000
4,0.310540,0.311519,0.879805,0.803341,0.00100000
5,0.306387,0.309904,0.879239,0.802395,0.00100000
6,0.298153,0.303267,0.880264,0.804057,0.00100000
7,0.293096,0.296453,0.885713,0.811494,0.00100000
8,0.287226,0.297771,0.880243,0.804715,0.00100000
9,0.282389,0.296790,0.885863,0.812260,0.00100000
10,0.274869,0.289422,0.887056,0.814294,0.00100000
11,0.269273,0.285941,0.886361,0.813433,0.00100000
12,0.261961,0.288271,0.886778,0.814197,0.00100000
13,0.253959,0.285056,0.888519,0.816718,0.00100000
14,0.246624,0.285494,0.887257,0.815482,0.00100000
15,0.237636,0.292419,0.888837,0.817835,0.00100000
16,0.229458,0.289435,0.887679,0.816366,0.00100000
17,0.220936,0.297459,0.886239,0.814575,0.00100000
18,0.211210,0.302533,0.881695,0.809022,0.00100000
19,0.202061,0.310034,0.885208,0.813449,0.00100000
20,0.192675,0.315105,0.884428,0.812515,0.00100000
